Date, Close/Last, Volume, Open, High, Low
08/19/2020, $77.63, 6840566, $79.183, $79.385, $77.43
08/18/2020, $78.99, 5272725, $79.15, $79.36, $78.35
08/17/2020, $78.95, 5360366, $78.6, $78.96, $78.12
08/14/2020, $78.37, 3771349, $78.54, $78.93, $78.02
08/13/2020, $79.02, 4383353, $78.92, $79.6401, $78.84
08/12/2020, $79.29, 5378790, $79.59, $79.69, $78.665
08/11/2020, $78.87, 10238460, $78.27, $79.98, $78
08/10/2020, $77.47, 6604325, $75.818, $77.665, $75.81
08/07/2020, $75.79, 6569313, $75.48, $75.93, $75.21
08/06/2020, $75.66, 6764846, $75.2, $75.92, $74.9412
08/05/2020, $75.78, 7823144, $75.35, $75.99, $75.325
08/04/2020, $75.13, 12792450, $75.37, $75.485, $74.76
08/03/2020, $75.5, 7142088, $76.48, $76.6, $75.44
07/31/2020, $76.53, 7424977, $76.24, $76.54, $75.48
07/30/2020, $76.64, 7889831, $76.63, $76.98, $75.4
07/29/2020, $77.42, 15261050, $77.56, $78.49, $76.9
07/28/2020, $74.64, 12273410, $76.3, $76.39, $74.5604
07/27/2020, $76.46, 6771141, $75.886, $76.705, $75.54
07/24/2020, $75.78, 5673370, $75.28, $75.995, $75.11
07/23/2020, $75.36, 7795081, $76.88, $77.07, $74.9
07/22/2020, $77.24, 9213149, $75.52, $77.325, $75.12
07/21/2020, $75.44, 10639750, $75.78, $76.8, $75.27
07/20/2020, $74.96, 8832692, $74.16, $75.22, $73.6305
07/17/2020, $74.16, 6087543, $74.43, $74.55, $73.2101
07/16/2020, $74.39, 6649692, $74.9, $75.14, $73.68
07/15/2020, $75.61, 10300710, $74.46, $75.805, $73.96
07/14/2020, $72.73, 8780867, $72, $72.97, $71.815
07/13/2020, $72.65, 9464541, $74.56, $74.84, $72.49
07/10/2020, $74.29, 7524157, $73, $74.56, $72.74
07/09/2020, $73.57, 9618209, $73.73, $74.22, $71.93
07/08/2020, $74.14, 7346243, $74.07, $74.499, $73.33
07/07/2020, $74.25, 7515103, $75.13, $75.23, $74
07/06/2020, $75.44, 7235277, $74.93, $75.48, $74.16
07/02/2020, $73.78, 6544351, $75.04, $75.09, $73.64
07/01/2020, $74.03, 6749978, $74, $74.69, $73.38
06/30/2020, $73.59, 11323990, $73.58, $73.88, $72.81
06/29/2020, $73.48, 8653029, $71.409, $73.5, $71.06
06/26/2020, $71.57, 17627840, $73.63, $73.77, $71.25
06/25/2020, $73.85, 8624798, $73.216, $74.105, $72.17
06/24/2020, $73.64, 12306430, $74.9, $74.92, $72
06/23/2020, $75.49, 8076612, $76.33, $76.37, $75.07
06/22/2020, $75.4, 8238636, $74.9, $75.651, $73.92
06/19/2020, $75.4, 12527330, $77.03, $77.375, $74.88
06/18/2020, $76.31, 8485970, $76.72, $76.79, $75.795
06/17/2020, $77.1, 6906721, $78.07, $78.29, $76.68
06/16/2020, $77.84, 10890110, $78.79, $78.9435, $76.39
06/15/2020, $76.96, 14651210, $74.3, $77.91, $74.08
06/12/2020, $76.38, 18529830, $75, $76.715, $73.81
06/11/2020, $72.57, 26422160, $75.75, $76.79, $72.15
06/10/2020, $79.01, 19683810, $79.88, $80.025, $78.2
06/09/2020, $82.37, 7999828, $82.62, $83.22, $81.76
06/08/2020, $83.56, 10229590, $83.08, $83.62, $82.1828
06/05/2020, $82.14, 12030780, $80.33, $82.33, $79.97
06/04/2020, $78.74, 7667564, $79.31, $80.17, $78.47
06/03/2020, $79.58, 9956666, $78.45, $79.95, $78.3
06/02/2020, $77.78, 9521014, $77.97, $78.255, $76.79
06/01/2020, $78.32, 7936986, $77.66, $78.65, $76.77
05/29/2020, $77.99, 10108990, $78.62, $78.64, $77.26
05/28/2020, $78.54, 8333918, $78.64, $80.06, $77.93
05/27/2020, $78.6, 8245290, $78.98, $78.98, $77.385
05/26/2020, $77.76, 8422249, $79.6, $79.92, $77.575
05/22/2020, $77.62, 7653305, $77.9, $78.05, $76.52
05/21/2020, $78.05, 10312640, $78.6, $79.375, $77.89
05/20/2020, $77.76, 7790481, $77.23, $77.84, $76.52
05/19/2020, $75.86, 6484878, $76.4, $77.225, $75.76
05/18/2020, $76.23, 8912473, $76.86, $77.5, $76.2
05/15/2020, $74.16, 9489146, $72.81, $74.64, $72.6746
05/14/2020, $74.19, 11932250, $72.32, $74.29, $70.65
05/13/2020, $73.62, 11532700, $74.46, $75.75, $72.92
05/12/2020, $74.35, 8549922, $76, $76.73, $74.34
05/11/2020, $75.87, 9004538, $76.62, $77.18, $75.795
05/08/2020, $77.87, 11921830, $77.25, $77.93, $75.76
05/07/2020, $76, 13369310, $73.81, $76.03, $73.37
05/06/2020, $72.96, 12740910, $73.767, $74.85, $72.86
05/05/2020, $72.9, 12976020, $74.96, $75.08, $72.89
05/04/2020, $71.89, 12921800, $72.58, $72.62, $71.255
05/01/2020, $73.79, 11216700, $74.9, $75.8799, $73.21
04/30/2020, $76.73, 15186030, $76.83, $77.64, $75.19
04/29/2020, $76.86, 24575510, $78.18, $78.75, $76.72
04/28/2020, $78.69, 12801390, $78.67, $79.61, $76.96
04/27/2020, $77.74, 8258468, $76.68, $78.04, $76.54
04/24/2020, $75.58, 8460619, $75.75, $76.03, $74.21
04/23/2020, $75.15, 15513360, $77.33, $77.67, $74.26
04/22/2020, $77.45, 11355290, $74.55, $78.06, $74.43
04/21/2020, $72.72, 10345790, $73.4, $73.96, $71.74
04/20/2020, $75.32, 9684741, $76.02, $76.98, $75.085
04/17/2020, $77.1, 14268390, $76.62, $77.39, $74.97
04/16/2020, $73.51, 11946810, $73.11, $73.76, $71.345
04/15/2020, $72.55, 10642530, $72.01, $73.175, $70.71
04/14/2020, $73.67, 10912000, $73.69, $74.33, $72.66
04/13/2020, $71.76, 11191790, $73.52, $73.6, $70.35
04/09/2020, $73.88, 19769560, $71.2, $74.255, $70.14
04/08/2020, $71.57, 10417640, $69.58, $71.92, $68.5377
04/07/2020, $68.71, 13799400, $71.568, $72.48, $68.335
04/06/2020, $67.79, 18010770, $66.27, $68.34, $64.41
04/03/2020, $63.05, 14676460, $64.47, $64.75, $60.9
04/02/2020, $65, 18175040, $65.75, $68.7, $62.91
04/01/2020, $62.62, 12880410, $63, $64.76, $61.58
03/31/2020, $65.74, 20109800, $67.18, $68.32, $65.31
03/30/2020, $67.86, 14199720, $66.56, $68.2199, $64.58
03/27/2020, $66.34, 18950460, $66.68, $68.25, $64.8202
03/26/2020, $69.9, 21005280, $66.71, $71.58, $66.25
03/25/2020, $65.81, 22977190, $66.83, $69.64, $63.4927
03/24/2020, $64.88, 28286190, $62.61, $65.16, $61
03/23/2020, $56.55, 24905790, $57.23, $57.44, $54
03/20/2020, $58.03, 28420580, $62.3, $65.68, $57.91
03/19/2020, $61.41, 25167420, $56.23, $63.36, $53.55
03/18/2020, $56.33, 28770620, $55.55, $57.65, $50.02
03/17/2020, $58.98, 25045190, $59.55, $59.6199, $53.61
03/16/2020, $58.59, 23354350, $60.63, $63.949, $58.11
03/13/2020, $69.92, 19247180, $65.65, $70.18, $63.51
03/12/2020, $62.1, 25170630, $62.954, $66.793, $61.46
03/11/2020, $68.3, 17161370, $72.83, $74.27, $67.4
03/10/2020, $74.87, 18414050, $72.56, $74.95, $70.03
03/09/2020, $70.83, 15930310, $70.58, $74.03, $70.08
03/06/2020, $75.34, 18080150, $73.46, $75.71, $72.05
03/05/2020, $76.19, 12545270, $77.9, $77.9, $75.28
03/04/2020, $79.67, 10999610, $79.29, $80.2, $77.88
03/03/2020, $78.6, 12395890, $82.3, $82.615, $78.11
03/02/2020, $82.38, 14258680, $77.92, $82.41, $77.66
02/28/2020, $78.43, 19120250, $76.17, $78.81, $75.72
02/27/2020, $78.29, 17120830, $78.83, $80.87, $77.36
02/26/2020, $80.67, 10549300, $82.6, $83.24, $80.64
02/25/2020, $82.19, 9403953, $85.02, $85.35, $81.67
02/24/2020, $84.52, 8313643, $84.53, $86.0513, $84.26
02/21/2020, $87.36, 5801705, $88, $88.39, $87
02/20/2020, $88.6, 5969200, $89.73, $90.25, $87.73
02/19/2020, $90.14, 5210834, $89.49, $90.435, $89.3
02/18/2020, $89.23, 5291147, $89.37, $89.47, $88.29
02/14/2020, $89.28, 5686868, $90.18, $90.4099, $88.99
02/13/2020, $89.925, 8576615, $88.5, $90.505, $88.26
02/12/2020, $88.57, 7747787, $87.71, $89.1, $87.39
02/11/2020, $87.51, 5098622, $87.86, $88.2299, $87.35
02/10/2020, $87.53, 7289281, $86.43, $87.6175, $86.1675
02/07/2020, $86.42, 8073908, $85.76, $86.62, $85.315
02/06/2020, $86.15, 8901403, $87.65, $87.695, $86.15
02/05/2020, $87.56, 9982673, $88.88, $89.2, $86.63
02/04/2020, $88.38, 9997071, $87.14, $89, $86.62
02/03/2020, $86.01, 9092620, $85.07, $86.7863, $85.07
01/31/2020, $84.83, 11693900, $85.79, $85.9924, $84.52
01/30/2020, $85.84, 12224940, $85.45, $86.59, $84.69
01/29/2020, $86.72, 17703900, $88.15, $88.44, $85.6
01/28/2020, $88.6, 11922400, $89.05, $89.188, $87.72
01/27/2020, $88.73, 11066490, $88.63, $89.45, $87.55
01/24/2020, $92.03, 7815501, $94, $94.13, $91.34
01/23/2020, $93.75, 6100777, $91.92, $93.85, $90.74
01/22/2020, $92.53, 6157412, $93.14, $93.75, $92.47
01/21/2020, $92.53, 7094559, $92.83, $93.595, $92.19
01/17/2020, $93.62, 6962787, $92.93, $93.75, $92.8099
01/16/2020, $92.58, 5180320, $91.99, $92.61, $91.63
01/15/2020, $91.54, 6145518, $91, $92.06, $91
01/14/2020, $90.99, 5855400, $91.19, $91.44, $90.86
01/13/2020, $91.08, 7382968, $90.62, $91.715, $90.21
01/10/2020, $90.16, 7098085, $90.8, $90.89, $89.63
01/09/2020, $90.53, 9450166, $90.25, $91.16, $90.07
01/08/2020, $88.88, 7297235, $87.94, $89.35, $87.78
01/07/2020, $87.86, 6533541, $87.96, $88.03, $87.13
01/06/2020, $88.13, 5409850, $88.11, $88.41, $87.47
01/03/2020, $88.83, 4874916, $88.66, $89.1, $88.1
01/02/2020, $89.35, 6475843, $88.12, $89.35, $88.05
