state,university_college,campus,student_enrollment1,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_2,rape_legacy_definition_3,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson4
,Indiana University: ,Bloomington,48514,14,false,9,,1,4,338,33,300,5,
,,Indianapolis,30105,9,false,3,,2,4,318,21,279,18,1
,,Northwest,5848,0,false,0,,0,0,18,2,16,0,
,,Southeast,6173,2,false,1,,0,1,15,3,12,0,1
,Marian University,,2897,0,false,0,,0,0,23,1,22,0,0
,Purdue University,,40472,8,false,3,,2,3,256,15,238,3,0
IOWA,Iowa State University,,35714,14,false,7,,1,6,255,12,238,5,0
,University of Iowa,,30844,18,false,11,,0,7,256,32,215,9,2
,University of Northern Iowa,,11981,7,false,3,,0,4,81,4,72,5,0
KANSAS,Emporia State University,,6094,0,false,0,,0,0,45,16,29,0,1
,Fort Hays State University,,14210,4,false,2,,0,2,44,9,35,0,0
,Kansas City Kansas Community College,,5625,1,false,1,,0,0,17,1,16,0,0
,Kansas State University,,24146,7,false,2,,0,5,77,4,72,1,0
,Pittsburg State University,,7244,2,false,1,,1,0,60,6,50,4,0
,University of Kansas: ,Main Campus,27259,5,false,3,,1,1,205,27,173,5,0
,,Medical Center5,,17,false,0,,2,15,133,3,126,4,0
,Washburn University,,6615,2,false,0,,1,1,73,6,64,3,0
,Wichita State University,,14240,1,false,0,,0,1,93,8,80,5,1
KENTUCKY,Eastern Kentucky University,,16844,7,false,6,,1,0,193,41,147,5,0
,Kentucky State University,,1586,0,false,0,,0,0,8,2,6,0,0
,Morehead State University,,10872,0,false,0,,0,0,50,14,36,0,0
,Murray State University,,10998,4,false,4,,0,0,79,7,66,6,0
,Northern Kentucky University,,14699,0,false,0,,0,0,50,4,46,0,0
,Transylvania University,,1053,0,false,0,,0,0,3,0,3,0,0
,University of Kentucky,,29727,17,false,3,,6,8,499,20,452,27,1
,University of Louisville,,21294,10,false,1,,6,3,321,25,282,14,1
,Western Kentucky University,,20063,3,false,2,,1,0,95,19,74,2,1
LOUISIANA,Delgado Community College,,16131,1,false,0,,0,1,14,1,12,1,0
,Dillard University,,1185,1,false,1,,0,0,39,12,26,1,0
,Grambling State University,,4541,20,false,3,,5,12,113,34,77,2,0
,Louisiana State University: ,Baton Rouge,31524,11,false,3,,3,5,366,46,297,23,0
,,"Health Sciences Center, New Orleans",2791,0,false,0,,0,0,0,0,0,0,0
,,"Health Sciences Center, Shreveport",891,0,false,0,,0,0,52,1,49,2,0
,,Shreveport,4428,0,false,0,,0,0,25,10,15,0,0
,Louisiana Tech University,,12371,2,false,0,,2,0,56,3,52,1,0
,Nicholls State University,,6158,1,false,0,,0,1,7,1,6,0,0
,Northwestern State University,,9179,8,false,3,,3,2,68,14,54,0,0
,Southern University and A&M College: ,Baton Rouge,6401,14,false,0,,9,5,98,14,84,0,1
,,New Orleans,2792,0,false,0,,0,0,0,0,0,0,0
,,Shreveport,3174,0,false,0,,0,0,0,0,0,0,0
,Tulane University,,12485,7,false,2,,4,1,243,20,221,2,3
,University of Louisiana: ,Lafayette,17508,20,false,3,,3,14,221,34,183,4,0
,,Monroe,8804,7,false,0,,2,5,58,7,50,1,0
,University of New Orleans,,8423,6,false,4,,0,2,69,11,58,0,0
MAINE,University of Maine: ,Farmington6,2016,1,false,1,,0,0,18,2,16,0,0
,,Orono6,10922,20,false,19,,1,0,138,2,136,0,4
,University of Southern Maine6,,7739,1,false,1,,0,0,29,3,25,1,0
MARYLAND,Bowie State University,,5430,3,false,0,,2,1,46,23,22,1,0
,Coppin State University,,3108,6,false,0,,3,3,77,16,55,6,0
,Frostburg State University,,5756,10,false,0,,3,7,44,4,39,1,0
,Hagerstown Community College,,4276,0,false,0,,0,0,0,0,0,0,0
,Morgan State University,,7725,6,false,0,,3,3,105,3,102,0,0
,Salisbury University,,8671,2,false,2,,0,0,70,3,67,0,0
,St. Mary's College,,1735,3,false,2,,0,1,69,8,59,2,7
,Towson University,,22284,2,false,1,,1,0,76,8,68,0,0
,University of Baltimore,,6229,0,false,0,,0,0,36,1,35,0,0
,University of Maryland: ,Baltimore City,6329,6,false,0,,2,4,77,1,74,2,0
,,Baltimore County,13839,0,false,0,,0,0,79,5,73,1,
,,College Park,38140,18,false,4,,4,10,341,26,297,18,0
,,Eastern Shore,4465,9,false,6,,1,2,62,29,33,0,0
MASSACHUSETTS,Amherst College,,1795,9,false,8,,0,1,59,10,46,3,
,Assumption College,,2675,10,false,4,,0,6,27,1,26,0,0
,Babson College,,3057,9,false,6,,0,3,33,0,33,0,
,Becker College,,2153,3,false,2,,0,1,14,0,14,0,0
,Bentley University,,5552,3,false,2,,0,1,42,8,34,0,
,Boston College,,14354,10,false,7,,0,3,122,15,106,1,
,Boston University,,32158,19,false,7,,5,7,364,23,338,3,1
,Brandeis University,,5752,0,false,0,,0,0,39,3,35,1,
,Bridgewater State University,,11089,12,false,3,,1,8,31,6,25,0,0
,Bristol Community College,,8761,1,false,0,,0,1,4,0,4,0,
,Bunker Hill Community College,,13142,0,false,0,,0,0,46,0,46,0,
,Cape Cod Community College,,3627,0,false,0,,0,0,1,0,1,0,
,Clark University,,3485,3,false,1,,0,2,45,10,34,1,
,College of the Holy Cross,,2729,3,false,2,,0,1,37,4,33,0,
,Curry College,,2950,0,false,0,,0,0,2,0,2,0,
,Dean College,,1363,2,false,2,,0,0,31,13,18,0,0
,Emerson College,,4479,14,false,8,,2,4,40,6,34,0,
,Endicott College,,4695,0,false,0,,0,0,0,0,0,0,
,Fitchburg State University,,6598,9,false,4,,0,5,19,2,17,0,
,Framingham State University,,6398,0,false,0,,0,0,21,1,20,0,
,Gordon College,,2045,0,false,0,,0,0,47,0,47,0,
,Greenfield Community College,,2050,0,false,0,,0,0,8,0,8,0,
,Hampshire College,,1410,2,false,1,,0,1,33,4,29,0,0
,Harvard University,,29652,3,false,1,,0,2,574,74,499,1,
,Lasell College,,2160,8,false,0,,0,8,14,3,11,0,
,Massachusetts Bay Community College,,4859,1,false,0,,0,1,6,0,6,0,
,Massachusetts College of Art,,1990,1,false,0,,0,1,27,0,27,0,
,Massachusetts College of Liberal Arts,,1641,4,false,1,,0,3,28,5,23,0,0
,Massachusetts Institute of Technology,,11331,4,false,0,,0,4,334,19,313,2,0
,Massasoit Community College,,7637,3,false,0,,0,3,15,1,14,0,0
,MCPHS University,,7074,1,false,0,,1,0,9,0,9,0,
,Merrimack College,,3620,2,false,1,,1,0,38,6,32,0,
,Mount Holyoke College,,2215,3,false,3,,0,0,56,13,42,1,1
,Mount Ida College,,1345,2,false,0,,0,2,12,1,11,0,
,Mount Wachusett Community College,,4074,0,false,0,,0,0,30,0,30,0,
,Northeastern University,,19940,25,false,11,,6,8,253,13,240,0,
,North Shore Community College,,6961,4,false,0,,1,3,17,0,17,0,0
,Regis College,,1954,1,false,1,,0,0,3,0,3,0,
,Salem State University,,9215,7,false,5,,0,2,53,12,41,0,0
,Smith College,,2874,2,false,2,,0,0,43,3,40,0,0
,Springfield College,,3241,6,false,5,,0,1,34,1,30,3,
,Springfield Technical Community College,,6286,0,false,0,,0,0,18,0,18,0,0
,Stonehill College,,2400,7,false,1,,0,6,10,1,9,0,
