metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
,"City of Fort Smith, AR",88573,712,4,70,97,541,5229,888,4008,333
,Total area actually reporting,0.997,1388,14,191,117,1066,9605,2150,6823,632
,Estimated total,1,1391,14,192,117,1068,9628,2155,6840,633
,"Rate per 100,000 inhabitants",,497.6,5,68.7,41.9,382,3443.9,770.8,2446.6,226.4
"Fort Wayne, IN M.S.A.",,431558, ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,261642,1040,43,95,410,492,8924,1698,6812,414
,Total area actually reporting,0.947,1257,48,125,446,638,10858,2069,8297,492
,Estimated total,1,1288,49,129,450,660,11122,2135,8468,519
,"Rate per 100,000 inhabitants",,298.5,11.4,29.9,104.3,152.9,2577.2,494.7,1962.2,120.3
"Fresno, CA M.S.A.",,976874, ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,524796,3206,39,158,1122,1887,20523,3697,13542,3284
,Total area actually reporting,1,5983,63,314,1414,4192,31875,6883,19806,5186
,"Rate per 100,000 inhabitants",,612.5,6.4,32.1,144.7,429.1,3263,704.6,2027.5,530.9
"Gadsden, AL M.S.A.",,102537, ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,35927,464,4,27,56,377,2521,401,1893,227
,Total area actually reporting,0.985,722,6,62,77,577,3651,700,2584,367
,Estimated total,1,730,6,63,78,583,3702,710,2621,371
,"Rate per 100,000 inhabitants",,711.9,5.9,61.4,76.1,568.6,3610.4,692.4,2556.2,361.8
"Gainesville, FL M.S.A.",,280301, ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,131242,870,3,142,189,536,4908,590,3951,367
,Total area actually reporting,0.946,1460,4,216,271,969,7764,1258,5972,534
,Estimated total,1,1513,5,221,280,1007,8068,1320,6191,557
,"Rate per 100,000 inhabitants",,539.8,1.8,78.8,99.9,359.3,2878.3,470.9,2208.7,198.7
"Gainesville, GA M.S.A.",,196154, ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,39425,162,3,14,56,89,1405,202,1107,96
,Total area actually reporting,1,512,8,39,121,344,5026,766,3871,389
,"Rate per 100,000 inhabitants",,261,4.1,19.9,61.7,175.4,2562.3,390.5,1973.4,198.3
"Gettysburg, PA M.S.A.",,102165, ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,7608,31,0,4,1,26,106,14,90,2
,Total area actually reporting,1,166,2,42,11,111,817,155,636,26
,"Rate per 100,000 inhabitants",,162.5,2,41.1,10.8,108.6,799.7,151.7,622.5,25.4
"Glens Falls, NY M.S.A.",,125674, ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,14212,33,1,5,3,24,220,32,187,1
,Total area actually reporting,1,207,2,91,14,100,1565,227,1317,21
,"Rate per 100,000 inhabitants",,164.7,1.6,72.4,11.1,79.6,1245.3,180.6,1047.9,16.7
"Goldsboro, NC M.S.A.",,124396, ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,35871,389,11,3,84,291,1999,484,1416,99
,Total area actually reporting,0.977,538,11,7,119,401,3801,1212,2362,227
,Estimated total,1,546,11,8,121,406,3889,1229,2430,230
,"Rate per 100,000 inhabitants",,438.9,8.8,6.4,97.3,326.4,3126.3,988,1953.4,184.9
"Grand Forks, ND-MN M.S.A.",,101537, ,,,,, ,,,
,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND",57853,177,1,36,27,113,1783,303,1345,135
,Total area actually reporting,1,244,1,60,27,156,2550,467,1912,171
,"Rate per 100,000 inhabitants",,240.3,1,59.1,26.6,153.6,2511.4,459.9,1883.1,168.4
"Grand Island, NE M.S.A.",,85552, ,,,,, ,,,
,"Includes Hall, Hamilton, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,51980,173,1,34,20,118,1620,236,1297,87
,Total area actually reporting,0.925,236,1,41,20,174,1893,308,1467,118
,Estimated total,1,245,1,43,21,180,1973,320,1527,126
,"Rate per 100,000 inhabitants",,286.4,1.2,50.3,24.5,210.4,2306.2,374,1784.9,147.3
"Grand Junction, CO M.S.A.",,148848, ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,60628,314,4,63,35,212,3060,362,2537,161
,Total area actually reporting,0.992,516,9,119,46,342,4540,656,3622,262
,Estimated total,1,519,9,120,46,344,4573,660,3647,266
,"Rate per 100,000 inhabitants",,348.7,6,80.6,30.9,231.1,3072.3,443.4,2450.2,178.7
"Grand Rapids-Wyoming, MI M.S.A.",,1048249, ,,,,, ,,,
,"Includes Barry, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,196538,1327,10,142,321,854,4334,822,3208,304
,City of Wyoming,75917,352,4,69,62,217,1758,297,1273,188
,Total area actually reporting,0.998,3529,22,825,529,2153,16906,2933,13028,945
,Estimated total,1,3534,22,826,530,2156,16939,2938,13053,948
,"Rate per 100,000 inhabitants",,337.1,2.1,78.8,50.6,205.7,1615.9,280.3,1245.2,90.4
"Grants Pass, OR M.S.A.",,85644, ,,,,, ,,,
,Includes Josephine County,,,,,,,,,,
,City of Grants Pass,37317,96,0,17,29,50,2010,249,1554,207
,Total area actually reporting,1,190,2,22,35,131,2417,385,1687,345
,"Rate per 100,000 inhabitants",,221.8,2.3,25.7,40.9,153,2822.1,449.5,1969.8,402.8
"Great Falls, MT M.S.A.",,82482, ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,59717,162,3,21,15,123,2944,365,2364,215
,Total area actually reporting,1,189,4,24,16,145,3149,407,2508,234
,"Rate per 100,000 inhabitants",,229.1,4.8,29.1,19.4,175.8,3817.8,493.4,3040.7,283.7
"Greeley, CO M.S.A.",,291675, ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,102491,468,3,85,51,329,3275,506,2447,322
,Total area actually reporting,0.996,749,4,123,76,546,5861,1001,4214,646
,Estimated total,1,752,4,124,76,548,5895,1005,4240,650
,"Rate per 100,000 inhabitants",,257.8,1.4,42.5,26.1,187.9,2021.1,344.6,1453.7,222.9
"Green Bay, WI M.S.A.2",,318010, ,,,,, ,,,
,"Includes Brown,2 Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay2,105452,505,4,77,73,351,2306,424,1795,87
,Total area actually reporting,0.91,662,8,115,80,459,4418,724,3506,188
,Estimated total,1,681,8,119,81,473,4618,773,3645,200
,"Rate per 100,000 inhabitants",,214.1,2.5,37.4,25.5,148.7,1452.2,243.1,1146.2,62.9
"Hagerstown-Martinsburg, MD-WV M.S.A.",,261805,,,,,,,,,
,"Includes Washington County, MD and Berkeley County, WV",, ,,,,,,,,
,"City of Hagerstown, MD",40567,231,0,19,105,107,1262,374,775,113
,"City of Martinsburg, WV",17789,81,0,13,25,43,882,117,740,25
,Total area actually reporting,1,650,7,61,193,389,5556,1350,3871,335
,"Rate per 100,000 inhabitants",,248.3,2.7,23.3,73.7,148.6,2122.2,515.7,1478.6,128
"Hammond, LA M.S.A.",,129819,,,,,,,,,
,Includes Tangipahoa Parish,, ,,,,,,,,
,City of Hammond,20576,286,7,12,59,208,2131,627,1412,92
,Total area actually reporting,0.966,1170,17,72,195,886,5470,1646,3459,365
,Estimated total,1,1189,17,73,198,901,5635,1674,3588,373
,"Rate per 100,000 inhabitants",,915.9,13.1,56.2,152.5,694,4340.7,1289.5,2763.8,287.3
"Hanford-Corcoran, CA M.S.A.",,149661,,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,55973,266,2,21,44,199,1496,222,1059,215
,City of Corcoran,22111,68,2,10,7,49,404,114,216,74
,Total area actually reporting,1,639,11,72,80,476,3167,699,1931,537
,"Rate per 100,000 inhabitants",,427,7.3,48.1,53.5,318.1,2116.1,467.1,1290.2,358.8
"Harrisburg-Carlisle, PA M.S.A.",,566382,,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
,City of Harrisburg,48996,526,13,54,160,299,1342,404,803,135
,City of Carlisle,19225,25,1,7,11,6,400,44,345,11
,Total area actually reporting,0.994,1439,19,214,309,897,8326,1536,6440,350
,Estimated total,1,1445,19,215,310,901,8379,1543,6484,352
,"Rate per 100,000 inhabitants",,255.1,3.4,38,54.7,159.1,1479.4,272.4,1144.8,62.1
"Harrisonburg, VA M.S.A.",,131581, ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,52972,117,2,25,29,61,1099,165,894,40
,Total area actually reporting,1,214,3,59,35,117,1794,328,1391,75
,"Rate per 100,000 inhabitants",,162.6,2.3,44.8,26.6,88.9,1363.4,249.3,1057.1,57
"Hartford-West Hartford-East Hartford, CT M.S.A.2",,1019846,,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,123736,1353,14,65,476,798,5197,808,3616,773
,City of West Hartford,62979,40,0,2,38,0,1589,131,1351,107
,City of East Hartford,50733,147,4,26,51,66,1312,247,922,143
,City of Middletown,46580,70,0,5,23,42,927,109,731,87
,Total area actually reporting,1,2430,23,257,854,1296,22566,3050,17098,2418
,"Rate per 100,000 inhabitants",,238.3,2.3,25.2,83.7,127.1,2212.7,299.1,1676.5,237.1
"Hattiesburg, MS M.S.A.",,149558,,,,,,,,,
,"Includes Forrest, Lamar, and Perry Counties",, ,,,,,,,,
,City of Hattiesburg,47006,147,8,10,52,77,2752,374,2292,86
,Total area actually reporting,0.902,279,9,23,66,181,3822,819,2872,131
,Estimated total,1,298,9,25,70,194,4068,881,3037,150
,"Rate per 100,000 inhabitants",,199.3,6,16.7,46.8,129.7,2720,589.1,2030.7,100.3
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",,211983,,,,,,,,,
,Includes Beaufort and Jasper Counties,, ,,,,,,,,
,City of Bluffton,17498,25,2,6,5,12,267,39,217,11
,City of Beaufort,13477,85,1,3,21,60,857,100,729,28
,Total area actually reporting,1,668,17,76,144,431,4634,900,3399,335
,"Rate per 100,000 inhabitants",,315.1,8,35.9,67.9,203.3,2186,424.6,1603.4,158
"Hinesville, GA M.S.A.",,80776,,,,,,,,,
,Includes Liberty and Long Counties,, ,,,,,,,,
,City of Hinesville,33477,215,2,14,49,150,1252,210,1011,31
,Total area actually reporting,1,344,3,16,65,260,1850,401,1372,77
,"Rate per 100,000 inhabitants",,425.9,3.7,19.8,80.5,321.9,2290.3,496.4,1698.5,95.3
"Homosassa Springs, FL M.S.A.",,141300,,,,,,,,,
,Includes Citrus County,, ,,,,,,,,
,Total area actually reporting,1,338,4,40,39,255,1979,426,1443,110
,"Rate per 100,000 inhabitants",,239.2,2.8,28.3,27.6,180.5,1400.6,301.5,1021.2,77.8
"Hot Springs, AR M.S.A.",,97312, ,,,,, ,,,
,Includes Garland County,,,,,,,,,,
,City of Hot Springs,35716,277,4,26,62,185,2882,1059,1586,237
,Total area actually reporting,1,634,4,73,82,475,4605,1890,2349,366
,"Rate per 100,000 inhabitants",,651.5,4.1,75,84.3,488.1,4732.2,1942.2,2413.9,376.1
"Houma-Thibodaux, LA M.S.A.",,212402,,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,34410,167,4,17,42,104,1411,196,1159,56
,City of Thibodaux,14588,90,0,3,10,77,593,142,443,8
,Total area actually reporting,1,954,19,61,114,760,6693,1591,4871,231
,"Rate per 100,000 inhabitants",,449.1,8.9,28.7,53.7,357.8,3151.1,749.1,2293.3,108.8
"Houston-The Woodlands-Sugar Land, TX M.S.A.",,6789215,,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, and Waller Counties",,,,,,,,,,
,City of Houston,2334348,23960,301,1210,9962,12487,100856,18488,69630,12738
,City of Sugar Land,90088,77,0,16,43,18,1460,250,1162,48
,City of Baytown,77224,302,9,25,98,170,2858,525,1960,373
,City of Conroe,71111,252,1,39,86,126,2199,376,1639,184
,Total area actually reporting,0.999,39255,487,2710,14633,21425,198490,37216,138158,23116
,Estimated total,1,39256,487,2710,14633,21426,198500,37218,138165,23117
,"Rate per 100,000 inhabitants",,578.2,7.2,39.9,215.5,315.6,2923.8,548.2,2035.1,340.5
"Huntington-Ashland, WV-KY-OH M.S.A.3, 4",,359412,,,,,,,,,
,"Includes Boyd and Greenup Counties, KY; Lawrence County OH; and Cabell, Lincoln, Putnam, and Wayne Counties, WV",,,,,,,,,,
,"City of Huntington, WV3",48540,378,3,33,125,217,,,1497,115
,"City of Ashland, KY",20987,51,1,16,11,23,885,146,704,35
,Total area actually reporting,0.837,900,6,137,169,588,,,5159,
,Estimated total,1,1048,8,158,180,702,,,5867,
,"Rate per 100,000 inhabitants",,291.6,2.2,44,50.1,195.3,,,1632.4,
"Huntsville, AL M.S.A.",,448973, ,,,,, ,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,192587,1787,18,152,414,1203,9398,1692,6812,894
,Total area actually reporting,1,2501,22,239,505,1735,14340,2733,10350,1257
,"Rate per 100,000 inhabitants",,557,4.9,53.2,112.5,386.4,3194,608.7,2305.3,280
"Idaho Falls, ID M.S.A.",,141859, ,,,,, ,,,
,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
,City of Idaho Falls,59615,253,1,33,13,206,1367,370,904,93
,Total area actually reporting,1,425,1,48,18,358,2226,599,1491,136
,"Rate per 100,000 inhabitants",,299.6,0.7,33.8,12.7,252.4,1569.2,422.3,1051,95.9
"Indianapolis-Carmel-Anderson, IN M.S.A.",,2004800, ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,866351,11907,148,684,3976,7099,41540,10209,26335,4996
,City of Carmel,90619,25,0,13,7,5,803,58,706,39
,City of Anderson,55134,240,6,63,92,79,2294,497,1614,183
,Total area actually reporting,0.824,13615,173,871,4261,8310,57721,12253,39210,6258
,Estimated total,1,14302,184,939,4388,8791,64291,13334,44161,6796
,"Rate per 100,000 inhabitants",,713.4,9.2,46.8,218.9,438.5,3206.9,665.1,2202.8,339
"Iowa City, IA M.S.A.",,169088, ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,75527,197,0,39,43,115,1551,294,1169,88
,Total area actually reporting,1,493,0,123,71,299,2921,528,2261,132
,"Rate per 100,000 inhabitants",,291.6,0,72.7,42,176.8,1727.5,312.3,1337.2,78.1
"Jackson, MI M.S.A.",,159287, ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,33060,409,4,65,49,291,1504,287,1159,58
,Total area actually reporting,0.987,843,9,142,74,618,3489,642,2678,169
,Estimated total,1,849,9,143,75,622,3528,648,2708,172
,"Rate per 100,000 inhabitants",,533,5.7,89.8,47.1,390.5,2214.9,406.8,1700.1,108
"Jackson, TN M.S.A.",,129606, ,,,,, ,,,
,"Includes Chester, Crockett, and Madison Counties",,,,,,,,,,
,City of Jackson,66990,628,7,36,108,477,2947,650,2170,127
,Total area actually reporting,1,843,7,45,114,677,3939,1028,2709,202
,"Rate per 100,000 inhabitants",,650.4,5.4,34.7,88,522.4,3039.2,793.2,2090.2,155.9
"Jacksonville, FL M.S.A.",,1473678, ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,880557,5504,106,517,1463,3418,31538,5851,22660,3027
,Total area actually reporting,1,7058,125,697,1681,4555,42653,8196,30834,3623
,"Rate per 100,000 inhabitants",,478.9,8.5,47.3,114.1,309.1,2894.3,556.2,2092.3,245.8
"Janesville-Beloit, WI M.S.A.",,161430, ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,64234,145,0,28,31,86,1763,238,1474,51
,City of Beloit,36878,175,2,17,57,99,1124,149,940,35
,Total area actually reporting,1,370,3,57,90,220,3570,558,2885,127
,"Rate per 100,000 inhabitants",,229.2,1.9,35.3,55.8,136.3,2211.5,345.7,1787.2,78.7
"Jefferson City, MO M.S.A.",,151164, ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,43171,174,4,9,35,126,1318,179,1085,54
,Total area actually reporting,1,445,7,33,60,345,2855,604,2094,157
,"Rate per 100,000 inhabitants",,294.4,4.6,21.8,39.7,228.2,1888.7,399.6,1385.3,103.9
"Johnson City, TN M.S.A.",,200977, ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,66511,263,4,25,38,196,2488,392,1977,119
,Total area actually reporting,1,585,5,48,65,467,4662,846,3557,259
,"Rate per 100,000 inhabitants",,291.1,2.5,23.9,32.3,232.4,2319.7,420.9,1769.9,128.9
"Johnstown, PA M.S.A.",,134652, ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,21227,100,5,2,20,73,633,198,416,19
,Total area actually reporting,0.98,210,7,15,31,157,1807,383,1379,45
,Estimated total,1,214,7,15,32,160,1848,388,1413,47
,"Rate per 100,000 inhabitants",,158.9,5.2,11.1,23.8,118.8,1372.4,288.2,1049.4,34.9
"Jonesboro, AR M.S.A.",,129793, ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,75230,387,5,35,72,275,3369,1528,1727,114
,Total area actually reporting,1,541,7,87,80,367,4662,1849,2626,187
,"Rate per 100,000 inhabitants",,416.8,5.4,67,61.6,282.8,3591.9,1424.6,2023.2,144.1
"Joplin, MO M.S.A.4",,177228, ,,,,, ,,,
,Includes Jasper and Newton4 Counties,,,,,,,,,,
,City of Joplin,52001,329,2,52,72,203,3779,569,2895,315
,Total area actually reporting,1,,7,94,100,,7163,1148,5400,615
,"Rate per 100,000 inhabitants",,,3.9,53,56.4,,4041.7,647.8,3046.9,347
"Kahului-Wailuku-Lahaina, HI M.S.A.",,164771,,,,,,,,,
,Includes Kalawao and Maui Counties,, ,,,,,,,,
,Total area actually reporting,1,450,5,77,68,300,5741,978,4046,717
,"Rate per 100,000 inhabitants",,273.1,3,46.7,41.3,182.1,3484.2,593.6,2455.5,435.1
"Kalamazoo-Portage, MI M.S.A.",,336919,,,,,,,,,
,Includes Kalamazoo and Van Buren Counties,, ,,,,,,,,
,City of Kalamazoo,76389,925,7,125,182,611,3221,755,2228,238
,City of Portage,48550,103,0,31,15,57,1289,149,1117,23
,Total area actually reporting,1,1776,22,368,264,1122,9038,1966,6579,493
,"Rate per 100,000 inhabitants",,527.1,6.5,109.2,78.4,333,2682.5,583.5,1952.7,146.3
"Kankakee, IL M.S.A.",,109833,,,,,,,,,
,Includes Kankakee County,, ,,,,,,,,
,City of Kankakee,26509,203,5,26,74,98,1098,251,786,61
,Total area actually reporting,0.867,311,10,33,97,171,2382,509,1768,105
,Estimated total,1,341,10,37,106,188,2630,548,1964,118
,"Rate per 100,000 inhabitants",,310.5,9.1,33.7,96.5,171.2,2394.5,498.9,1788.2,107.4
"Kennewick-Richland, WA M.S.A.",,285194,,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,79837,183,1,31,37,114,2254,295,1772,187
,City of Richland,55475,101,1,20,11,69,1344,174,1092,78
,Total area actually reporting,1,551,5,99,91,356,6202,1069,4602,531
,"Rate per 100,000 inhabitants",,193.2,1.8,34.7,31.9,124.8,2174.7,374.8,1613.6,186.2
"Killeen-Temple, TX M.S.A.2",,434470,,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
,City of Killeen,143248,996,16,129,234,617,3946,1124,2471,351
,City of Temple,73411,226,7,34,89,96,2298,493,1620,185
,Total area actually reporting,0.993,1673,27,242,410,994,10468,2458,7290,720
,Estimated total,1,1681,27,243,412,999,10542,2470,7347,725
,"Rate per 100,000 inhabitants",,386.9,6.2,55.9,94.8,229.9,2426.4,568.5,1691,166.9
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,306101,,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN",53059,369,1,18,71,279,2501,374,1973,154
,"City of Bristol, TN",26656,158,1,14,14,129,900,134,670,96
,"City of Bristol, VA",16908,37,1,9,7,20,432,56,338,38
,Total area actually reporting,1,1124,8,125,119,872,7135,1294,5236,605
,"Rate per 100,000 inhabitants",,367.2,2.6,40.8,38.9,284.9,2330.9,422.7,1710.5,197.6
"Kingston, NY M.S.A.",,178502, ,,,,, ,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,23360,76,0,10,23,43,484,57,418,9
,Total area actually reporting,1,292,4,72,36,180,2336,393,1878,65
,"Rate per 100,000 inhabitants",,163.6,2.2,40.3,20.2,100.8,1308.7,220.2,1052.1,36.4
"Knoxville, TN M.S.A.",,866010, ,,,,, ,,,
,"Includes Anderson, Blount, Campbell, Grainger, Knox, Loudon, Morgan, Roane, and Union Counties",,,,,,,,,,
,City of Knoxville,186583,1672,18,157,404,1093,10324,1840,7620,864
,Total area actually reporting,1,3892,37,296,610,2949,23900,5043,16881,1976
,"Rate per 100,000 inhabitants",,449.4,4.3,34.2,70.4,340.5,2759.8,582.3,1949.3,228.2
"Kokomo, IN M.S.A.",,82350, ,,,,, ,,,
,Includes Howard County,,,,,,,,,,
,City of Kokomo,57984,441,4,30,84,323,1760,476,1196,88
,Total area actually reporting,0.987,519,6,36,92,385,2046,587,1350,109
,Estimated total,1,522,6,36,93,387,2077,591,1375,111
,"Rate per 100,000 inhabitants",,633.9,7.3,43.7,112.9,469.9,2522.2,717.7,1669.7,134.8
"La Crosse-Onalaska, WI-MN M.S.A.",,137403, ,,,,, ,,,
,"Includes Houston County, MN and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI",52498,131,1,32,23,75,2290,319,1905,66
,"City of Onalaska, WI",18600,13,0,6,0,7,508,60,443,5
,Total area actually reporting,1,186,1,41,23,121,3374,482,2800,92
,"Rate per 100,000 inhabitants",,135.4,0.7,29.8,16.7,88.1,2455.6,350.8,2037.8,67
"Lafayette, LA M.S.A.3",,493575, ,,,,, ,,,
,"Includes Acadia, Iberia,3 Lafayette, St. Martin, and Vermilion Parishes",,,,,,,,,,
,City of Lafayette,128923,641,11,19,148,463,6417,1025,5013,379
,Total area actually reporting,0.974,1830,45,58,351,1376,,3299,10056,
,Estimated total,1,1887,46,62,360,1419,,3382,10432,
,"Rate per 100,000 inhabitants",,382.3,9.3,12.6,72.9,287.5,,685.2,2113.6,
"Lafayette-West Lafayette, IN M.S.A.",,216480, ,,,,, ,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,
,City of Lafayette,71562,360,2,35,109,214,3016,612,2217,187
,City of West Lafayette,46284,57,0,10,10,37,452,71,360,21
,Total area actually reporting,0.871,491,2,65,127,297,4401,897,3253,251
,Estimated total,1,536,3,70,134,329,4799,980,3532,287
,"Rate per 100,000 inhabitants",,247.6,1.4,32.3,61.9,152,2216.8,452.7,1631.6,132.6
"Lake Charles, LA M.S.A.",,206047, ,,,,, ,,,
,Includes Calcasieu and Cameron Parishes,,,,,,,,,,
,City of Lake Charles,76864,654,8,40,143,463,3153,1626,1320,207
,Total area actually reporting,1,1357,14,103,192,1048,8754,3142,5063,549
,"Rate per 100,000 inhabitants",,658.6,6.8,50,93.2,508.6,4248.5,1524.9,2457.2,266.4
"Lakeland-Winter Haven, FL M.S.A.",,661218,,,,,,,,,
,Includes Polk County,, ,,,,,,,,
,City of Lakeland,105766,337,4,89,104,140,5111,751,4050,310
,City of Winter Haven,38488,196,2,10,33,151,1339,238,1021,80
,Total area actually reporting,1,2199,26,258,350,1565,15567,3214,11201,1152
,"Rate per 100,000 inhabitants",,332.6,3.9,39,52.9,236.7,2354.3,486.1,1694,174.2
"Lancaster, PA M.S.A.",,538376, ,,,,, ,,,
,Includes Lancaster County,,,,,,,,,,
,City of Lancaster,59340,487,4,92,164,227,2164,255,1828,81
,Total area actually reporting,1,944,8,180,270,486,7411,1029,6143,239
,"Rate per 100,000 inhabitants",,175.3,1.5,33.4,50.2,90.3,1376.5,191.1,1141,44.4
"Lansing-East Lansing, MI M.S.A.",,473685,,,,,,,,,
,"Includes Clinton, Eaton, and Ingham Counties",, ,,,,,,,,
,City of Lansing,115199,1341,9,142,260,930,3325,897,2053,375
,City of East Lansing,48451,115,0,43,24,48,719,124,488,107
,Total area actually reporting,1,2172,16,432,354,1370,8730,1791,6232,707
,"Rate per 100,000 inhabitants",,458.5,3.4,91.2,74.7,289.2,1843,378.1,1315.6,149.3
"Laredo, TX M.S.A.",,272746, ,,,,, ,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo,259325,940,12,148,160,620,7890,1015,6646,229
,Total area actually reporting,1,986,12,153,165,656,8188,1116,6837,235
,"Rate per 100,000 inhabitants",,361.5,4.4,56.1,60.5,240.5,3002.1,409.2,2506.7,86.2
"Las Cruces, NM M.S.A.",,214233, ,,,,, ,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces,102349,251,5,41,51,154,4788,830,3697,261
,Total area actually reporting,0.957,496,11,92,62,331,6049,1226,4447,376
,Estimated total,1,542,11,96,66,369,6357,1287,4652,418
,"Rate per 100,000 inhabitants",,253,5.1,44.8,30.8,172.2,2967.3,600.7,2171.5,195.1
"Las Vegas-Henderson-Paradise, NV M.S.A.",,2155946,,,,,,,,,
,Includes Clark County,, ,,,,,,,,
,City of Las Vegas Metropolitan Police Department,1592178,13520,158,1200,4974,7188,46000,12500,24645,8855
,City of Henderson,291584,617,10,94,235,278,5484,1237,3617,630
,Total area actually reporting,1,16622,194,1420,5781,9227,58811,15522,32417,10872
,"Rate per 100,000 inhabitants",,771,9,65.9,268.1,428,2727.9,720,1503.6,504.3
"Lawton, OK M.S.A.",,129814, ,,,,, ,,,
,Includes Comanche and Cotton Counties,,,,,,,,,,
,City of Lawton,96420,781,4,69,110,598,3691,1151,2318,222
,Total area actually reporting,0.991,813,4,75,112,622,4125,1303,2556,266
,Estimated total,1,815,4,75,112,624,4155,1309,2577,269
,"Rate per 100,000 inhabitants",,627.8,3.1,57.8,86.3,480.7,3200.7,1008.4,1985.1,207.2
"Lebanon, PA M.S.A.",,137357, ,,,,, ,,,
,Includes Lebanon County,,,,,,,,,,
,City of Lebanon,25549,60,1,3,16,40,619,129,441,49
,Total area actually reporting,0.959,203,3,13,36,151,1942,307,1546,89
,Estimated total,1,212,3,14,38,157,2028,318,1618,92
,"Rate per 100,000 inhabitants",,154.3,2.2,10.2,27.7,114.3,1476.4,231.5,1178,67
"Lewiston, ID-WA M.S.A.",,62714,,,,,,,,,
,"Includes Nez Perce County, ID and Asotin County, WA",, ,,,,,,,,
,"City of Lewiston, ID",32665,46,0,14,3,29,1330,366,883,81
,Total area actually reporting,1,95,1,25,6,63,2189,507,1562,120
,"Rate per 100,000 inhabitants",,151.5,1.6,39.9,9.6,100.5,3490.4,808.4,2490.7,191.3
"Lewiston-Auburn, ME M.S.A.",,107279,,,,,,,,,
,Includes Androscoggin County,, ,,,,,,,,
,City of Lewiston,36126,64,0,14,18,32,718,140,529,49
,City of Auburn,22836,43,0,14,7,22,730,66,649,15
,Total area actually reporting,1,146,0,37,30,79,1825,308,1437,80
,"Rate per 100,000 inhabitants",,136.1,0,34.5,28,73.6,1701.2,287.1,1339.5,74.6
